FID	IID	PPNP_BLUP
yangzhou_199_117	yangzhou_199_117	8.6841525537184
yangzhou_199_118	yangzhou_199_118	8.68415255371839
yangzhou_199_119	yangzhou_199_119	9.08455155560018
yangzhou_199_1	yangzhou_199_1	8.82429220437702
yangzhou_199_120	yangzhou_199_120	9.28475105654107
yangzhou_199_121	yangzhou_199_121	7.82329469967257
yangzhou_199_12	yangzhou_199_12	7.02249669590901
yangzhou_199_122	yangzhou_199_122	8.48395305277751
yangzhou_199_123	yangzhou_199_123	9.945409409646
yangzhou_199_124	yangzhou_199_124	8.48395305277751
yangzhou_199_125	yangzhou_199_125	8.20367375146026
yangzhou_199_126	yangzhou_199_126	8.82429220437702
yangzhou_199_127	yangzhou_199_127	8.82429220437702
yangzhou_199_128	yangzhou_199_128	7.96343435033119
yangzhou_199_129	yangzhou_199_129	10.2256887109632
yangzhou_199_130	yangzhou_199_130	9.24471115635289
yangzhou_199_131	yangzhou_199_131	7.48295554807306
yangzhou_199_13	yangzhou_199_13	8.48395305277751
yangzhou_199_132	yangzhou_199_132	7.56303534844941
yangzhou_199_133	yangzhou_199_133	9.48495055748195
yangzhou_199_134	yangzhou_199_134	9.02449170531791
yangzhou_199_135	yangzhou_199_135	7.68315504901395
yangzhou_199_136	yangzhou_199_136	7.60501844479686
yangzhou_199_137	yangzhou_199_137	7.52992490540433
yangzhou_199_138	yangzhou_199_138	7.95545496196204
yangzhou_199_139	yangzhou_199_139	8.54401290305977
yangzhou_199_140	yangzhou_199_140	6.16163884186319
yangzhou_199_141	yangzhou_199_141	7.28275604713217
yangzhou_199_14	yangzhou_199_14	7.56303534844941
yangzhou_199_142	yangzhou_199_142	7.34281589741443
yangzhou_199_143	yangzhou_199_143	7.74321489929621
yangzhou_199_144	yangzhou_199_144	5.70117998969914
yangzhou_199_145	yangzhou_199_145	5.9614393409223
yangzhou_199_146	yangzhou_199_146	6.36183834280408
yangzhou_199_147	yangzhou_199_147	6.1416188917691
yangzhou_199_148	yangzhou_199_148	7.70317499910804
yangzhou_199_149	yangzhou_199_149	7.36283584750852
yangzhou_199_150	yangzhou_199_150	10.2833546831307
yangzhou_199_151	yangzhou_199_151	7.56303534844941
yangzhou_199_15	yangzhou_199_15	7.34281589741443
yangzhou_199_152	yangzhou_199_152	9.30477100663515
yangzhou_199_153	yangzhou_199_153	8.02349420061346
yangzhou_199_154	yangzhou_199_154	7.74321489929621
yangzhou_199_155	yangzhou_199_155	7.36283584750852
yangzhou_199_156	yangzhou_199_156	7.10257649628537
yangzhou_199_157	yangzhou_199_157	7.78023670337945
yangzhou_199_158	yangzhou_199_158	6.96243684562674
yangzhou_199_159	yangzhou_199_159	6.48195804336861
yangzhou_199_160	yangzhou_199_160	8.56403285315386
yangzhou_199_161	yangzhou_199_161	8.56403285315386
yangzhou_199_16	yangzhou_199_16	7.85533024277199
yangzhou_199_162	yangzhou_199_162	8.16363385127208
yangzhou_199_163	yangzhou_199_163	8.56403285315386
yangzhou_199_164	yangzhou_199_164	8.02349420061346
yangzhou_199_165	yangzhou_199_165	7.82329469967257
yangzhou_199_166	yangzhou_199_166	11.0264867147268
yangzhou_199_167	yangzhou_199_167	8.94441190494155
yangzhou_199_168	yangzhou_199_168	6.48195804336861
yangzhou_199_169	yangzhou_199_169	6.62209769402723
yangzhou_199_170	yangzhou_199_170	5.76123983998141
yangzhou_199_171	yangzhou_199_171	6.96243684562674
yangzhou_199_17	yangzhou_199_17	6.5019779934627
yangzhou_199_172	yangzhou_199_172	6.56203784374497
yangzhou_199_173	yangzhou_199_173	7.28275604713217
yangzhou_199_174	yangzhou_199_174	7.02249669590901
yangzhou_199_175	yangzhou_199_175	6.42189819308634
yangzhou_199_176	yangzhou_199_176	8.28375355183662
yangzhou_199_177	yangzhou_199_177	6.48195804336861
yangzhou_199_178	yangzhou_199_178	6.88235704525039
yangzhou_199_179	yangzhou_199_179	7.56303534844941
yangzhou_199_180	yangzhou_199_180	7.74321489929621
yangzhou_199_181	yangzhou_199_181	8.30377350193071
yangzhou_199_18	yangzhou_199_18	8.88435205465928
yangzhou_199_182	yangzhou_199_182	8.54401290305977
yangzhou_199_183	yangzhou_199_183	10.165628860681
yangzhou_199_184	yangzhou_199_184	8.53117209730483
yangzhou_199_185	yangzhou_199_185	8.22369370155435
yangzhou_199_186	yangzhou_199_186	8.76423235409475
yangzhou_199_187	yangzhou_199_187	8.76423235409475
yangzhou_199_188	yangzhou_199_188	8.82429220437702
yangzhou_199_189	yangzhou_199_189	6.82229719496812
yangzhou_199_190	yangzhou_199_190	9.53241928920534
yangzhou_199_191	yangzhou_199_191	6.96243684562674
yangzhou_199_19	yangzhou_199_19	6.6821575443095
yangzhou_199_192	yangzhou_199_192	8.50397300287159
yangzhou_199_193	yangzhou_199_193	8.78148389527996
yangzhou_199_194	yangzhou_199_194	7.96343435033119
yangzhou_199_195	yangzhou_199_195	7.02249669590901
yangzhou_199_196	yangzhou_199_196	6.42189819308634
yangzhou_199_197	yangzhou_199_197	8.76423235409475
yangzhou_199_198	yangzhou_199_198	7.68315504901395
yangzhou_199_199	yangzhou_199_199	8.6841525537184
yangzhou_199_20	yangzhou_199_20	8.10357400098982
yangzhou_199_21	yangzhou_199_21	7.50489372560681
yangzhou_199_2	yangzhou_199_2	7.96343435033119
yangzhou_199_22	yangzhou_199_22	8.94441190494155
yangzhou_199_23	yangzhou_199_23	8.23833119046111
yangzhou_199_24	yangzhou_199_24	7.2226961968499
yangzhou_199_25	yangzhou_199_25	8.30377350193071
yangzhou_199_26	yangzhou_199_26	7.80327474957848
yangzhou_199_27	yangzhou_199_27	7.42289569779079
yangzhou_199_28	yangzhou_199_28	8.88435205465928
yangzhou_199_29	yangzhou_199_29	7.54301539835532
yangzhou_199_30	yangzhou_199_30	8.28375355183662
yangzhou_199_31	yangzhou_199_31	9.10688923264762
yangzhou_199_3	yangzhou_199_3	8.48395305277751
yangzhou_199_32	yangzhou_199_32	7.14261639647354
yangzhou_199_33	yangzhou_199_33	9.60751282859788
yangzhou_199_34	yangzhou_199_34	8.95670215386255
yangzhou_199_35	yangzhou_199_35	7.42289569779079
yangzhou_199_36	yangzhou_199_36	7.56303534844941
yangzhou_199_37	yangzhou_199_37	7.9434144002371
yangzhou_199_38	yangzhou_199_38	8.32379345202479
yangzhou_199_39	yangzhou_199_39	9.7652298587992
yangzhou_199_40	yangzhou_199_40	7.82329469967257
yangzhou_199_41	yangzhou_199_41	8.88435205465928
yangzhou_199_4	yangzhou_199_4	7.62309519873168
yangzhou_199_42	yangzhou_199_42	7.93042378216453
yangzhou_199_43	yangzhou_199_43	8.00551732155707
yangzhou_199_44	yangzhou_199_44	7.32279594732035
yangzhou_199_45	yangzhou_199_45	8.28375355183662
yangzhou_199_46	yangzhou_199_46	8.42389320249524
yangzhou_199_47	yangzhou_199_47	8.56403285315386
yangzhou_199_48	yangzhou_199_48	8.42389320249524
yangzhou_199_49	yangzhou_199_49	9.10688923264762
yangzhou_199_50	yangzhou_199_50	8.96443185503564
yangzhou_199_51	yangzhou_199_51	8.42389320249524
yangzhou_199_5	yangzhou_199_5	9.02449170531791
yangzhou_199_52	yangzhou_199_52	9.08455155560018
yangzhou_199_53	yangzhou_199_53	7.88335454995484
yangzhou_199_54	yangzhou_199_54	8.58405280324795
yangzhou_199_55	yangzhou_199_55	8.03054850135458
yangzhou_199_56	yangzhou_199_56	8.16363385127208
yangzhou_199_57	yangzhou_199_57	8.16363385127208
yangzhou_199_58	yangzhou_199_58	8.56403285315386
yangzhou_199_59	yangzhou_199_59	9.42489070719969
yangzhou_199_60	yangzhou_199_60	7.96343435033119
yangzhou_199_61	yangzhou_199_61	9.48495055748195
yangzhou_199_6	yangzhou_199_6	8.54401290305977
yangzhou_199_62	yangzhou_199_62	8.10357400098982
yangzhou_199_63	yangzhou_199_63	8.36383335221297
yangzhou_199_64	yangzhou_199_64	7.08255654619128
yangzhou_199_65	yangzhou_199_65	7.56303534844941
yangzhou_199_66	yangzhou_199_66	7.7632348493903
yangzhou_199_67	yangzhou_199_67	6.82229719496812
yangzhou_199_68	yangzhou_199_68	7.96343435033119
yangzhou_199_69	yangzhou_199_69	7.2226961968499
yangzhou_199_70	yangzhou_199_70	8.76423235409475
yangzhou_199_71	yangzhou_199_71	9.43229457001529
yangzhou_199_7	yangzhou_199_7	8.62409270343613
yangzhou_199_72	yangzhou_199_72	9.85782462657301
yangzhou_199_73	yangzhou_199_73	8.76423235409475
yangzhou_199_74	yangzhou_199_74	7.90337450004893
yangzhou_199_75	yangzhou_199_75	6.82229719496812
yangzhou_199_76	yangzhou_199_76	8.10357400098982
yangzhou_199_77	yangzhou_199_77	7.42289569779079
yangzhou_199_78	yangzhou_199_78	8.40387325240115
yangzhou_199_79	yangzhou_199_79	8.90437200475337
yangzhou_199_80	yangzhou_199_80	7.82329469967257
yangzhou_199_81	yangzhou_199_81	7.68315504901395
yangzhou_199_8	yangzhou_199_8	9.82528970908147
yangzhou_199_82	yangzhou_199_82	7.68315504901395
yangzhou_199_83	yangzhou_199_83	9.74520990870511
yangzhou_199_84	yangzhou_199_84	8.76423235409475
yangzhou_199_85	yangzhou_199_85	7.08255654619128
yangzhou_199_86	yangzhou_199_86	7.88335454995484
yangzhou_199_87	yangzhou_199_87	8.36383335221297
yangzhou_199_88	yangzhou_199_88	9.85782462657301
yangzhou_199_89	yangzhou_199_89	9.02449170531791
yangzhou_199_90	yangzhou_199_90	8.8565774346725
yangzhou_199_91	yangzhou_199_91	8.34381340211888
yangzhou_199_9	yangzhou_199_9	6.88235704525039
yangzhou_199_92	yangzhou_199_92	8.60626563669737
yangzhou_199_93	yangzhou_199_93	8.16363385127208
yangzhou_199_94	yangzhou_199_94	8.16363385127208
yangzhou_199_95	yangzhou_199_95	8.36383335221297
yangzhou_199_96	yangzhou_199_96	7.42289569779079
yangzhou_199_97	yangzhou_199_97	8.10564204074712
yangzhou_199_98	yangzhou_199_98	7.82329469967257
yangzhou_199_99	yangzhou_199_99	7.50297549816715
yangzhou_226_100	yangzhou_226_100	9.20701395183768
yangzhou_226_101	yangzhou_226_101	8.56403285315386
yangzhou_226_10	yangzhou_226_10	7.50297549816715
yangzhou_226_102	yangzhou_226_102	8.36383335221297
yangzhou_226_103	yangzhou_226_103	7.10257649628537
yangzhou_226_104	yangzhou_226_104	8.62409270343613
yangzhou_226_105	yangzhou_226_105	7.28275604713217
yangzhou_226_106	yangzhou_226_106	8.18073558013965
yangzhou_226_107	yangzhou_226_107	8.43104737811478
yangzhou_226_108	yangzhou_226_108	7.02249669590901
yangzhou_226_109	yangzhou_226_109	7.50489372560681
yangzhou_226_110	yangzhou_226_110	6.70217749440359
yangzhou_226_111	yangzhou_226_111	6.96243684562674
yangzhou_226_11	yangzhou_226_11	7.02930130945407
yangzhou_226_112	yangzhou_226_112	6.94241689553266
yangzhou_226_113	yangzhou_226_113	6.88235704525039
yangzhou_226_114	yangzhou_226_114	6.76223734468585
yangzhou_226_115	yangzhou_226_115	5.62110018932278
yangzhou_226_116	yangzhou_226_116	7.28275604713217
yangzhou_226_117	yangzhou_226_117	6.82229719496812
yangzhou_226_118	yangzhou_226_118	7.74321489929621
yangzhou_226_119	yangzhou_226_119	7.56303534844941
yangzhou_226_1	yangzhou_226_1	7.34281589741443
yangzhou_226_120	yangzhou_226_120	7.56303534844941
yangzhou_226_121	yangzhou_226_121	7.02249669590901
yangzhou_226_12	yangzhou_226_12	7.17948838823915
yangzhou_226_122	yangzhou_226_122	7.02930130945407
yangzhou_226_123	yangzhou_226_123	6.95053202922455
yangzhou_226_124	yangzhou_226_124	8.03054850135458
yangzhou_226_125	yangzhou_226_125	6.62209769402723
yangzhou_226_126	yangzhou_226_126	6.96243684562674
yangzhou_226_127	yangzhou_226_127	6.22169869214545
yangzhou_226_128	yangzhou_226_128	6.56203784374497
yangzhou_226_129	yangzhou_226_129	5.82129969026367
yangzhou_226_130	yangzhou_226_130	6.90237699534448
yangzhou_226_131	yangzhou_226_131	6.56203784374497
yangzhou_226_13	yangzhou_226_13	7.45483136601179
yangzhou_226_132	yangzhou_226_132	6.1416188917691
yangzhou_226_133	yangzhou_226_133	6.30177849252181
yangzhou_226_134	yangzhou_226_134	7.68315504901395
yangzhou_226_135	yangzhou_226_135	5.88135954054594
yangzhou_226_136	yangzhou_226_136	5.56104033904052
yangzhou_226_137	yangzhou_226_137	6.28175854242772
yangzhou_226_138	yangzhou_226_138	6.36183834280408
yangzhou_226_139	yangzhou_226_139	6.02149919120456
yangzhou_226_140	yangzhou_226_140	5.48096053866416
yangzhou_226_141	yangzhou_226_141	5.94141939082821
yangzhou_226_14	yangzhou_226_14	7.35470664682174
yangzhou_226_142	yangzhou_226_142	6.76223734468585
yangzhou_226_143	yangzhou_226_143	6.48195804336861
yangzhou_226_144	yangzhou_226_144	6.28175854242772
yangzhou_226_145	yangzhou_226_145	6.48195804336861
yangzhou_226_146	yangzhou_226_146	6.82229719496812
yangzhou_226_147	yangzhou_226_147	6.6821575443095
yangzhou_226_148	yangzhou_226_148	7.16263634656763
yangzhou_226_149	yangzhou_226_149	7.56303534844941
yangzhou_226_150	yangzhou_226_150	7.28275604713217
yangzhou_226_151	yangzhou_226_151	6.70217749440359
yangzhou_226_15	yangzhou_226_15	7.70514316398691
yangzhou_226_152	yangzhou_226_152	6.1416188917691
yangzhou_226_153	yangzhou_226_153	6.56203784374497
yangzhou_226_154	yangzhou_226_154	6.74221739459177
yangzhou_226_155	yangzhou_226_155	6.84231714506221
yangzhou_226_156	yangzhou_226_156	6.82229719496812
yangzhou_226_157	yangzhou_226_157	6.84231714506221
yangzhou_226_158	yangzhou_226_158	7.30277599722626
yangzhou_226_159	yangzhou_226_159	6.42189819308634
yangzhou_226_160	yangzhou_226_160	7.88335454995484
yangzhou_226_161	yangzhou_226_161	6.46111742483771
yangzhou_226_16	yangzhou_226_16	7.52992490540433
yangzhou_226_162	yangzhou_226_162	7.10257649628537
yangzhou_226_163	yangzhou_226_163	6.10157899158092
yangzhou_226_164	yangzhou_226_164	7.08255654619128
yangzhou_226_165	yangzhou_226_165	8.60407275334204
yangzhou_226_166	yangzhou_226_166	7.51887140366851
yangzhou_226_167	yangzhou_226_167	6.10157899158092
yangzhou_226_168	yangzhou_226_168	7.68315504901395
yangzhou_226_169	yangzhou_226_169	7.54301539835532
yangzhou_226_170	yangzhou_226_170	7.82329469967257
yangzhou_226_171	yangzhou_226_171	7.74321489929621
yangzhou_226_17	yangzhou_226_17	7.50297549816715
yangzhou_226_172	yangzhou_226_172	7.2226961968499
yangzhou_226_173	yangzhou_226_173	7.74321489929621
yangzhou_226_174	yangzhou_226_174	7.7632348493903
yangzhou_226_175	yangzhou_226_175	6.88235704525039
yangzhou_226_176	yangzhou_226_176	6.28175854242772
yangzhou_226_177	yangzhou_226_177	7.16263634656763
yangzhou_226_178	yangzhou_226_178	7.10257649628537
yangzhou_226_179	yangzhou_226_179	7.90337450004893
yangzhou_226_180	yangzhou_226_180	7.70317499910804
yangzhou_226_18	yangzhou_226_18	6.76223734468585
yangzhou_226_182	yangzhou_226_182	6.76223734468585
yangzhou_226_183	yangzhou_226_183	6.82229719496812
yangzhou_226_184	yangzhou_226_184	8.20367375146026
yangzhou_226_185	yangzhou_226_185	6.10157899158092
yangzhou_226_186	yangzhou_226_186	7.02249669590901
yangzhou_226_187	yangzhou_226_187	7.36283584750852
yangzhou_226_188	yangzhou_226_188	7.50297549816715
yangzhou_226_189	yangzhou_226_189	7.10257649628537
yangzhou_226_190	yangzhou_226_190	7.28275604713217
yangzhou_226_191	yangzhou_226_191	7.62309519873168
yangzhou_226_19	yangzhou_226_19	8.62409270343613
yangzhou_226_192	yangzhou_226_192	7.50297549816715
yangzhou_226_193	yangzhou_226_193	7.90337450004893
yangzhou_226_194	yangzhou_226_194	6.1031476569461
yangzhou_226_195	yangzhou_226_195	6.6821575443095
yangzhou_226_196	yangzhou_226_196	4.74022238518287
yangzhou_226_197	yangzhou_226_197	6.02149919120456
yangzhou_226_198	yangzhou_226_198	7.52299544826124
yangzhou_226_199	yangzhou_226_199	7.02249669590901
yangzhou_226_200	yangzhou_226_200	7.16263634656763
yangzhou_226_201	yangzhou_226_201	6.76223734468585
yangzhou_226_20	yangzhou_226_20	6.62209769402723
yangzhou_226_202	yangzhou_226_202	6.67886479228889
yangzhou_226_203	yangzhou_226_203	7.80327474957848
yangzhou_226_204	yangzhou_226_204	9.24471115635289
yangzhou_226_205	yangzhou_226_205	7.14261639647354
yangzhou_226_206	yangzhou_226_206	7.42980018621427
yangzhou_226_207	yangzhou_226_207	6.76223734468585
yangzhou_226_208	yangzhou_226_208	8.8565774346725
yangzhou_226_209	yangzhou_226_209	8.8565774346725
yangzhou_226_210	yangzhou_226_210	7.28275604713217
yangzhou_226_211	yangzhou_226_211	8.78148389527996
yangzhou_226_21	yangzhou_226_21	7.45483136601179
yangzhou_226_212	yangzhou_226_212	9.78273108718047
yangzhou_226_213	yangzhou_226_213	6.88235704525039
yangzhou_226_214	yangzhou_226_214	7.95545496196204
yangzhou_226_215	yangzhou_226_215	8.25582911953219
yangzhou_226_216	yangzhou_226_216	9.00676451345757
yangzhou_226_217	yangzhou_226_217	6.67886479228889
yangzhou_226_218	yangzhou_226_218	7.50489372560681
yangzhou_226_219	yangzhou_226_219	7.90337450004893
yangzhou_226_2	yangzhou_226_2	6.88235704525039
yangzhou_226_220	yangzhou_226_220	7.74321489929621
yangzhou_226_221	yangzhou_226_221	7.42980018621427
yangzhou_226_22	yangzhou_226_22	7.70514316398691
yangzhou_226_222	yangzhou_226_222	7.16263634656763
yangzhou_226_223	yangzhou_226_223	7.42980018621427
yangzhou_226_224	yangzhou_226_224	8.28375355183662
yangzhou_226_225	yangzhou_226_225	8.00551732155707
yangzhou_226_226	yangzhou_226_226	8.43104737811478
yangzhou_226_23	yangzhou_226_23	8.10357400098982
yangzhou_226_24	yangzhou_226_24	6.62209769402723
yangzhou_226_25	yangzhou_226_25	6.5019779934627
yangzhou_226_26	yangzhou_226_26	6.96243684562674
yangzhou_226_27	yangzhou_226_27	9.03179569325509
yangzhou_226_28	yangzhou_226_28	7.2796131074292
yangzhou_226_29	yangzhou_226_29	7.16263634656763
yangzhou_226_30	yangzhou_226_30	8.60626563669737
yangzhou_226_31	yangzhou_226_31	7.85533024277199
yangzhou_226_3	yangzhou_226_3	6.88235704525039
yangzhou_226_32	yangzhou_226_32	8.03054850135458
yangzhou_226_33	yangzhou_226_33	7.45483136601179
yangzhou_226_34	yangzhou_226_34	7.28275604713217
yangzhou_226_35	yangzhou_226_35	7.16843488650333
yangzhou_226_36	yangzhou_226_36	7.91937028042871
yangzhou_226_37	yangzhou_226_37	10.2833546831307
yangzhou_226_38	yangzhou_226_38	10.2833546831307
yangzhou_226_39	yangzhou_226_39	7.88789467329593
yangzhou_226_40	yangzhou_226_40	8.75645271548245
yangzhou_226_41	yangzhou_226_41	10.3658283616219
yangzhou_226_4	yangzhou_226_4	8.78148389527996
yangzhou_226_42	yangzhou_226_42	10.0254892100224
yangzhou_226_43	yangzhou_226_43	7.82329469967257
yangzhou_226_44	yangzhou_226_44	9.06436012377903
yangzhou_226_45	yangzhou_226_45	7.60307524863759
yangzhou_226_46	yangzhou_226_46	7.48295554807306
yangzhou_226_47	yangzhou_226_47	6.23583680666009
yangzhou_226_48	yangzhou_226_48	9.82528970908147
yangzhou_226_49	yangzhou_226_49	8.10357400098982
yangzhou_226_50	yangzhou_226_50	9.35720103062275
yangzhou_226_51	yangzhou_226_51	6.88664748139542
yangzhou_226_5	yangzhou_226_5	7.70514316398691
yangzhou_226_53	yangzhou_226_53	6.98677220058547
yangzhou_226_54	yangzhou_226_54	7.35470664682174
yangzhou_226_55	yangzhou_226_55	8.22369370155435
yangzhou_226_56	yangzhou_226_56	7.70514316398691
yangzhou_226_57	yangzhou_226_57	8.76423235409475
yangzhou_226_58	yangzhou_226_58	8.02349420061346
yangzhou_226_59	yangzhou_226_59	7.70514316398691
yangzhou_226_60	yangzhou_226_60	9.18198277204016
yangzhou_226_61	yangzhou_226_61	6.74221739459177
yangzhou_226_6	yangzhou_226_6	6.62209769402723
