FID	IID	TGW_BLUP
yangzhou_226_62	yangzhou_226_62	30.5046092224092
yangzhou_226_63	yangzhou_226_63	31.0238999544094
yangzhou_226_64	yangzhou_226_64	26.9393708603759
yangzhou_226_65	yangzhou_226_65	33.80245470729
yangzhou_226_66	yangzhou_226_66	27.1176327784776
yangzhou_226_67	yangzhou_226_67	28.6328590823417
yangzhou_226_68	yangzhou_226_68	32.4654903215275
yangzhou_226_69	yangzhou_226_69	26.4045851060709
yangzhou_226_70	yangzhou_226_70	25.3795790769863
yangzhou_226_71	yangzhou_226_71	24.8002278431559
yangzhou_226_7	yangzhou_226_7	28.09940229603
yangzhou_226_72	yangzhou_226_72	29.3904722342738
yangzhou_226_73	yangzhou_226_73	30.5268919621719
yangzhou_226_74	yangzhou_226_74	27.9198114099351
yangzhou_226_75	yangzhou_226_75	30.3931955235957
yangzhou_226_76	yangzhou_226_76	24.4659867467153
yangzhou_226_77	yangzhou_226_77	28.8111210004434
yangzhou_226_78	yangzhou_226_78	28.988220211812
yangzhou_226_79	yangzhou_226_79	27.4741566146809
yangzhou_226_80	yangzhou_226_80	20.6556382472922
yangzhou_226_81	yangzhou_226_81	28.0312251087486
yangzhou_226_8	yangzhou_226_8	23.6860908550205
yangzhou_226_82	yangzhou_226_82	27.5855703134945
yangzhou_226_83	yangzhou_226_83	28.0125099512589
yangzhou_226_84	yangzhou_226_84	24.644248664817
yangzhou_226_85	yangzhou_226_85	30.2817818247821
yangzhou_226_86	yangzhou_226_86	26.9170881206132
yangzhou_226_87	yangzhou_226_87	24.3768557876645
yangzhou_226_88	yangzhou_226_88	28.9671001787824
yangzhou_226_89	yangzhou_226_89	28.0089423689859
yangzhou_226_90	yangzhou_226_90	27.3627429158674
yangzhou_226_91	yangzhou_226_91	23.8866355128849
yangzhou_226_9	yangzhou_226_9	29.2122103161722
yangzhou_226_92	yangzhou_226_92	31.3290705936294
yangzhou_226_93	yangzhou_226_93	34.3595232013577
yangzhou_226_94	yangzhou_226_94	24.9562070214949
yangzhou_226_95	yangzhou_226_95	27.8752459304097
yangzhou_226_96	yangzhou_226_96	28.0089423689859
yangzhou_226_97	yangzhou_226_97	28.4991626437655
yangzhou_226_98	yangzhou_226_98	20.9898793437329
yangzhou_226_99	yangzhou_226_99	28.3877489449519
YCX333	YCX333	25.5134327648904
YCX334	YCX334	22.6594809139357
YCX335	YCX335	21.6947647953031
YCX336	YCX336	21.574175280474
YCX337	YCX337	21.8555508150752
YCX338	YCX338	26.397755873637
YCX339	YCX339	23.5036075177392
YCX340	YCX340	23.0614459633659
YCX341	YCX341	27.0408999527254
YCX342	YCX342	25.1114677154602
YCX343	YCX343	23.8251795572834
YCX344	YCX344	NA
YCX345	YCX345	19.966315082753
YCX346	YCX346	21.2927997458728
YCX347	YCX347	25.0310747055742
YCX348	YCX348	20.7702451816135
YCX349	YCX349	23.2624284880811
YCX350	YCX350	24.1869481017706
YCX351	YCX351	22.2977123694485
YCX352	YCX352	22.9006599435938
YCX353	YCX353	23.3026249930241
YCX354	YCX354	23.8653760622264
YCX355	YCX355	22.9006599435938
YCX356	YCX356	22.0967298447333
YCX357	YCX357	22.4584983892206
YCX358	YCX358	22.2977123694485
YCX359	YCX359	21.3731927557589
YCX360	YCX360	26.0359873291498
YCX361	YCX361	28.4879741306743
YCX362	YCX362	26.6791314082382
YCX363	YCX363	23.3428214979671
YCX364	YCX364	27.4830615070987
YCX365	YCX365	28.1664020911301
YCX366	YCX366	22.7800704287648
YCX367	YCX367	21.7349613002461
YCX368	YCX368	27.1212929626114
YCX369	YCX369	25.9957908242067
YCX370	YCX370	26.2369698538649
YCX371	YCX371	21.4133892607019
YCX372	YCX372	23.9859655770555
YCX373	YCX373	22.8202669337078
YCX374	YCX374	26.0359873291498
YCX375	YCX375	24.4281271314288
YCX376	YCX376	27.8046335466429
YCX377	YCX377	29.2919042295348
YCX378	YCX378	27.2016859724975
YCX379	YCX379	25.7144152896056
YCX380	YCX380	21.1722102310438
YCX381	YCX381	30.2164238432243
YCX382	YCX382	33.0301791892361
YCX383	YCX383	25.2722537352323
YCX384	YCX384	26.1967733489219
YCX385	YCX385	28.045812576301
YCX386	YCX386	29.2115112196487
YCX387	YCX387	28.1664020911301
YCX388	YCX388	29.653672774022
YCX389	YCX389	26.6791314082382
YCX390	YCX390	32.1860525854326
YCX391	YCX391	29.8948518036802
YCX392	YCX392	30.6183888926546
YCX393	YCX393	28.8497426751615
YD12	YD12	21.8811889342412
