FID	IID	SLNP_WenJ15
yangzhou_199_130	yangzhou_199_130	100.8
yangzhou_199_131	yangzhou_199_131	122.9
yangzhou_199_13	yangzhou_199_13	144.0
yangzhou_199_132	yangzhou_199_132	143.6
yangzhou_199_133	yangzhou_199_133	99.1
yangzhou_199_134	yangzhou_199_134	100.3
yangzhou_199_135	yangzhou_199_135	110.0
yangzhou_199_136	yangzhou_199_136	132.8
yangzhou_199_137	yangzhou_199_137	150.4
yangzhou_199_138	yangzhou_199_138	182.5
yangzhou_199_139	yangzhou_199_139	115.0
yangzhou_199_140	yangzhou_199_140	232.2
yangzhou_199_141	yangzhou_199_141	167.1
yangzhou_199_14	yangzhou_199_14	204.7
yangzhou_199_142	yangzhou_199_142	218.6
yangzhou_199_143	yangzhou_199_143	215.6
yangzhou_199_144	yangzhou_199_144	234.9
yangzhou_199_145	yangzhou_199_145	298.1
yangzhou_199_146	yangzhou_199_146	168.7
yangzhou_199_147	yangzhou_199_147	167.8
yangzhou_199_148	yangzhou_199_148	119.8
yangzhou_199_149	yangzhou_199_149	67.9
yangzhou_199_150	yangzhou_199_150	142.8
yangzhou_199_151	yangzhou_199_151	155.1
yangzhou_199_15	yangzhou_199_15	138.8
yangzhou_199_152	yangzhou_199_152	129.3
yangzhou_199_153	yangzhou_199_153	142.3
yangzhou_199_154	yangzhou_199_154	117.5
yangzhou_199_155	yangzhou_199_155	125.0
yangzhou_199_156	yangzhou_199_156	162.1
yangzhou_199_157	yangzhou_199_157	121.2
yangzhou_199_158	yangzhou_199_158	105.2
yangzhou_199_159	yangzhou_199_159	155.1
yangzhou_199_160	yangzhou_199_160	85.4
yangzhou_199_161	yangzhou_199_161	116.0
yangzhou_199_16	yangzhou_199_16	164.5
yangzhou_199_162	yangzhou_199_162	96.8
yangzhou_199_163	yangzhou_199_163	135.0
yangzhou_199_164	yangzhou_199_164	76.7
yangzhou_199_165	yangzhou_199_165	64.8
yangzhou_199_166	yangzhou_199_166	62.5
yangzhou_199_167	yangzhou_199_167	70.1
yangzhou_199_168	yangzhou_199_168	197.7
yangzhou_199_169	yangzhou_199_169	234.9
yangzhou_199_170	yangzhou_199_170	255.2
yangzhou_199_171	yangzhou_199_171	127.3
yangzhou_199_17	yangzhou_199_17	168.6
yangzhou_199_172	yangzhou_199_172	155.0
yangzhou_199_173	yangzhou_199_173	111.8
yangzhou_199_174	yangzhou_199_174	173.2
yangzhou_199_175	yangzhou_199_175	216.8
yangzhou_199_176	yangzhou_199_176	148.3
yangzhou_199_177	yangzhou_199_177	210.4
yangzhou_199_178	yangzhou_199_178	119.0
yangzhou_199_179	yangzhou_199_179	153.2
yangzhou_199_180	yangzhou_199_180	118.6
yangzhou_199_181	yangzhou_199_181	124.0
yangzhou_199_18	yangzhou_199_18	125.6
yangzhou_199_182	yangzhou_199_182	121.0
yangzhou_199_183	yangzhou_199_183	98.6
yangzhou_199_184	yangzhou_199_184	117.5
yangzhou_199_185	yangzhou_199_185	124.1
yangzhou_199_186	yangzhou_199_186	194.9
yangzhou_199_187	yangzhou_199_187	109.8
yangzhou_199_188	yangzhou_199_188	83.1
yangzhou_199_189	yangzhou_199_189	139.7
yangzhou_199_190	yangzhou_199_190	108.5
yangzhou_199_191	yangzhou_199_191	147.2
yangzhou_199_19	yangzhou_199_19	163.6
yangzhou_199_192	yangzhou_199_192	116.2
yangzhou_199_193	yangzhou_199_193	88.5
yangzhou_199_194	yangzhou_199_194	120.1
yangzhou_199_195	yangzhou_199_195	130.2
yangzhou_199_196	yangzhou_199_196	186.7
yangzhou_199_197	yangzhou_199_197	144.1
yangzhou_199_198	yangzhou_199_198	127.4
yangzhou_199_199	yangzhou_199_199	133.6
yangzhou_199_20	yangzhou_199_20	174.9
yangzhou_199_21	yangzhou_199_21	184.5
yangzhou_199_2	yangzhou_199_2	167.3
yangzhou_199_22	yangzhou_199_22	198.6
yangzhou_199_23	yangzhou_199_23	NA
yangzhou_199_24	yangzhou_199_24	250.0
yangzhou_199_25	yangzhou_199_25	131.5
yangzhou_199_26	yangzhou_199_26	177.9
yangzhou_199_27	yangzhou_199_27	163.1
yangzhou_199_28	yangzhou_199_28	141.7
yangzhou_199_29	yangzhou_199_29	165.3
yangzhou_199_30	yangzhou_199_30	191.8
yangzhou_199_31	yangzhou_199_31	100.8
yangzhou_199_3	yangzhou_199_3	132.2
yangzhou_199_32	yangzhou_199_32	152.8
yangzhou_199_33	yangzhou_199_33	106.6
yangzhou_199_34	yangzhou_199_34	127.3
yangzhou_199_35	yangzhou_199_35	168.9
yangzhou_199_36	yangzhou_199_36	137.7
yangzhou_199_37	yangzhou_199_37	134.8
yangzhou_199_38	yangzhou_199_38	121.0
yangzhou_199_39	yangzhou_199_39	159.4
yangzhou_199_40	yangzhou_199_40	148.8
yangzhou_199_41	yangzhou_199_41	120.0
yangzhou_199_4	yangzhou_199_4	171.3
yangzhou_199_42	yangzhou_199_42	181.0
yangzhou_199_43	yangzhou_199_43	123.4
yangzhou_199_44	yangzhou_199_44	133.2
yangzhou_199_45	yangzhou_199_45	144.1
yangzhou_199_46	yangzhou_199_46	130.3
yangzhou_199_47	yangzhou_199_47	136.9
yangzhou_199_48	yangzhou_199_48	123.3
yangzhou_199_49	yangzhou_199_49	88.7
yangzhou_199_50	yangzhou_199_50	124.7
yangzhou_199_51	yangzhou_199_51	156.7
yangzhou_199_5	yangzhou_199_5	131.2
yangzhou_199_52	yangzhou_199_52	146.8
yangzhou_199_53	yangzhou_199_53	137.8
yangzhou_199_54	yangzhou_199_54	118.1
yangzhou_199_55	yangzhou_199_55	140.2
yangzhou_199_56	yangzhou_199_56	141.4
yangzhou_199_57	yangzhou_199_57	149.8
yangzhou_199_58	yangzhou_199_58	124.8
yangzhou_199_59	yangzhou_199_59	137.5
yangzhou_199_60	yangzhou_199_60	106.2
yangzhou_199_61	yangzhou_199_61	105.3
yangzhou_199_6	yangzhou_199_6	146.7
yangzhou_199_62	yangzhou_199_62	152.3
yangzhou_199_63	yangzhou_199_63	124.4
yangzhou_199_64	yangzhou_199_64	130.6
yangzhou_199_65	yangzhou_199_65	146.4
yangzhou_199_66	yangzhou_199_66	127.6
yangzhou_199_67	yangzhou_199_67	123.8
yangzhou_199_68	yangzhou_199_68	128.1
yangzhou_199_69	yangzhou_199_69	169.6
yangzhou_199_70	yangzhou_199_70	97.8
yangzhou_199_71	yangzhou_199_71	100.9
yangzhou_199_7	yangzhou_199_7	168.7
yangzhou_199_72	yangzhou_199_72	123.1
yangzhou_199_73	yangzhou_199_73	145.3
yangzhou_199_74	yangzhou_199_74	110.2
yangzhou_199_75	yangzhou_199_75	151.0
yangzhou_199_76	yangzhou_199_76	151.3
yangzhou_199_77	yangzhou_199_77	164.8
yangzhou_199_78	yangzhou_199_78	159.4
yangzhou_199_79	yangzhou_199_79	154.6
yangzhou_199_80	yangzhou_199_80	141.5
yangzhou_199_81	yangzhou_199_81	129.0
yangzhou_199_8	yangzhou_199_8	142.4
yangzhou_199_82	yangzhou_199_82	190.1
yangzhou_199_83	yangzhou_199_83	125.0
yangzhou_199_84	yangzhou_199_84	161.7
yangzhou_199_85	yangzhou_199_85	163.5
yangzhou_199_86	yangzhou_199_86	165.7
yangzhou_199_87	yangzhou_199_87	129.9
yangzhou_199_88	yangzhou_199_88	109.4
yangzhou_199_89	yangzhou_199_89	116.6
yangzhou_199_90	yangzhou_199_90	157.6
yangzhou_199_91	yangzhou_199_91	97.6
yangzhou_199_9	yangzhou_199_9	198.7
yangzhou_199_92	yangzhou_199_92	116.8
yangzhou_199_93	yangzhou_199_93	136.1
yangzhou_199_94	yangzhou_199_94	154.3
yangzhou_199_95	yangzhou_199_95	100.1
yangzhou_199_96	yangzhou_199_96	143.6
yangzhou_199_97	yangzhou_199_97	138.3
yangzhou_199_98	yangzhou_199_98	134.9
yangzhou_199_99	yangzhou_199_99	143.4
yangzhou_226_100	yangzhou_226_100	139.3
yangzhou_226_101	yangzhou_226_101	164.0
yangzhou_226_10	yangzhou_226_10	135.9
yangzhou_226_102	yangzhou_226_102	142.2
yangzhou_226_103	yangzhou_226_103	221.9
yangzhou_226_104	yangzhou_226_104	131.2
yangzhou_226_105	yangzhou_226_105	131.6
yangzhou_226_106	yangzhou_226_106	181.0
yangzhou_226_107	yangzhou_226_107	66.8
yangzhou_226_108	yangzhou_226_108	161.3
yangzhou_226_109	yangzhou_226_109	193.8
yangzhou_226_110	yangzhou_226_110	191.0
yangzhou_226_111	yangzhou_226_111	225.5
yangzhou_226_11	yangzhou_226_11	172.3
yangzhou_226_112	yangzhou_226_112	122.2
yangzhou_226_113	yangzhou_226_113	167.8
yangzhou_226_114	yangzhou_226_114	186.7
yangzhou_226_115	yangzhou_226_115	281.4
yangzhou_226_116	yangzhou_226_116	183.0
yangzhou_226_117	yangzhou_226_117	255.8
yangzhou_226_118	yangzhou_226_118	154.0
yangzhou_226_119	yangzhou_226_119	185.8
yangzhou_226_1	yangzhou_226_1	159.7
yangzhou_226_120	yangzhou_226_120	147.6
yangzhou_226_121	yangzhou_226_121	132.0
yangzhou_226_12	yangzhou_226_12	128.4
yangzhou_226_122	yangzhou_226_122	259.3
yangzhou_226_123	yangzhou_226_123	NA
yangzhou_226_124	yangzhou_226_124	117.8
yangzhou_226_125	yangzhou_226_125	141.0
yangzhou_226_126	yangzhou_226_126	178.9
yangzhou_226_127	yangzhou_226_127	182.7
yangzhou_226_128	yangzhou_226_128	163.9
yangzhou_226_129	yangzhou_226_129	165.2
yangzhou_226_130	yangzhou_226_130	148.8
yangzhou_226_131	yangzhou_226_131	198.6
yangzhou_226_13	yangzhou_226_13	142.0
yangzhou_226_132	yangzhou_226_132	200.1
yangzhou_226_133	yangzhou_226_133	213.5
yangzhou_226_134	yangzhou_226_134	129.7
yangzhou_226_135	yangzhou_226_135	279.7
yangzhou_226_136	yangzhou_226_136	248.2
yangzhou_226_137	yangzhou_226_137	180.9
yangzhou_226_138	yangzhou_226_138	205.7
yangzhou_226_139	yangzhou_226_139	267.7
yangzhou_226_140	yangzhou_226_140	415.1
yangzhou_226_141	yangzhou_226_141	169.7
yangzhou_226_14	yangzhou_226_14	105.5
yangzhou_226_142	yangzhou_226_142	162.6
yangzhou_226_143	yangzhou_226_143	155.6
yangzhou_226_144	yangzhou_226_144	185.0
yangzhou_226_145	yangzhou_226_145	192.7
yangzhou_226_146	yangzhou_226_146	156.5
yangzhou_226_147	yangzhou_226_147	206.8
yangzhou_226_148	yangzhou_226_148	162.2
yangzhou_226_149	yangzhou_226_149	182.1
yangzhou_226_150	yangzhou_226_150	231.2
yangzhou_226_151	yangzhou_226_151	184.6
yangzhou_226_15	yangzhou_226_15	149.0
yangzhou_226_152	yangzhou_226_152	180.1
yangzhou_226_153	yangzhou_226_153	220.9
yangzhou_226_154	yangzhou_226_154	170.0
yangzhou_226_155	yangzhou_226_155	150.4
yangzhou_226_156	yangzhou_226_156	165.4
yangzhou_226_157	yangzhou_226_157	161.2
yangzhou_226_158	yangzhou_226_158	157.4
yangzhou_226_159	yangzhou_226_159	169.4
yangzhou_226_160	yangzhou_226_160	156.6
yangzhou_226_161	yangzhou_226_161	NA
yangzhou_226_16	yangzhou_226_16	111.7
yangzhou_226_162	yangzhou_226_162	155.6
yangzhou_226_163	yangzhou_226_163	278.8
yangzhou_226_164	yangzhou_226_164	115.5
yangzhou_226_165	yangzhou_226_165	160.0
yangzhou_226_166	yangzhou_226_166	207.6
yangzhou_226_167	yangzhou_226_167	271.7
yangzhou_226_168	yangzhou_226_168	200.7
yangzhou_226_169	yangzhou_226_169	188.4
yangzhou_226_170	yangzhou_226_170	163.0
yangzhou_226_171	yangzhou_226_171	230.3
yangzhou_226_17	yangzhou_226_17	138.8
yangzhou_226_172	yangzhou_226_172	198.8
yangzhou_226_173	yangzhou_226_173	124.9
yangzhou_226_174	yangzhou_226_174	130.1
yangzhou_226_175	yangzhou_226_175	212.6
yangzhou_226_176	yangzhou_226_176	306.1
yangzhou_226_177	yangzhou_226_177	232.1
yangzhou_226_178	yangzhou_226_178	171.7
yangzhou_226_179	yangzhou_226_179	201.4
yangzhou_226_180	yangzhou_226_180	135.9
yangzhou_226_18	yangzhou_226_18	138.6
yangzhou_226_182	yangzhou_226_182	129.2
yangzhou_226_183	yangzhou_226_183	190.3
yangzhou_226_184	yangzhou_226_184	184.8
yangzhou_226_185	yangzhou_226_185	258.9
yangzhou_226_186	yangzhou_226_186	263.7
yangzhou_226_187	yangzhou_226_187	198.4
yangzhou_226_188	yangzhou_226_188	211.9
yangzhou_226_189	yangzhou_226_189	194.4
yangzhou_226_190	yangzhou_226_190	200.3
yangzhou_226_191	yangzhou_226_191	156.4
yangzhou_226_19	yangzhou_226_19	122.7
yangzhou_226_192	yangzhou_226_192	170.4
yangzhou_226_193	yangzhou_226_193	193.1
yangzhou_226_194	yangzhou_226_194	363.7
yangzhou_226_195	yangzhou_226_195	145.5
yangzhou_226_196	yangzhou_226_196	472.0
yangzhou_226_197	yangzhou_226_197	321.5
yangzhou_226_198	yangzhou_226_198	259.8
yangzhou_226_199	yangzhou_226_199	197.4
yangzhou_226_200	yangzhou_226_200	89.1
yangzhou_226_201	yangzhou_226_201	111.6
yangzhou_226_20	yangzhou_226_20	238.4
yangzhou_226_202	yangzhou_226_202	139.4
yangzhou_226_203	yangzhou_226_203	196.4
yangzhou_226_204	yangzhou_226_204	117.7
yangzhou_226_205	yangzhou_226_205	134.8
yangzhou_226_206	yangzhou_226_206	133.1
yangzhou_226_207	yangzhou_226_207	138.5
yangzhou_226_208	yangzhou_226_208	196.5
yangzhou_226_209	yangzhou_226_209	121.6
yangzhou_226_210	yangzhou_226_210	96.1
yangzhou_226_211	yangzhou_226_211	148.2
yangzhou_226_21	yangzhou_226_21	128.2
yangzhou_226_212	yangzhou_226_212	106.6
yangzhou_226_213	yangzhou_226_213	177.3
yangzhou_226_214	yangzhou_226_214	144.7
yangzhou_226_215	yangzhou_226_215	122.9
yangzhou_226_216	yangzhou_226_216	174.0
yangzhou_226_217	yangzhou_226_217	203.8
yangzhou_226_218	yangzhou_226_218	144.7
