FID	IID	GW_BLUP
yangzhou_226_24	yangzhou_226_24	2.44006872717011
yangzhou_226_25	yangzhou_226_25	2.65705668669475
yangzhou_226_26	yangzhou_226_26	2.56061759357269
yangzhou_226_27	yangzhou_226_27	2.65705668669475
yangzhou_226_28	yangzhou_226_28	2.84993487293889
yangzhou_226_29	yangzhou_226_29	3.1633619255856
yangzhou_226_30	yangzhou_226_30	2.51239804701165
yangzhou_226_31	yangzhou_226_31	2.34362963404804
yangzhou_226_3	yangzhou_226_3	3.0187032859025
yangzhou_226_32	yangzhou_226_32	2.56061759357269
yangzhou_226_33	yangzhou_226_33	2.63294691341424
yangzhou_226_34	yangzhou_226_34	2.80565141568393
yangzhou_226_35	yangzhou_226_35	2.39184918060907
yangzhou_226_36	yangzhou_226_36	2.36773940732856
yangzhou_226_37	yangzhou_226_37	2.58326650492666
yangzhou_226_38	yangzhou_226_38	2.74211286975328
yangzhou_226_39	yangzhou_226_39	2.6485744870791
yangzhou_226_40	yangzhou_226_40	2.51972795899601
yangzhou_226_41	yangzhou_226_41	2.39265086713471
yangzhou_226_4	yangzhou_226_4	2.5847273668532
yangzhou_226_42	yangzhou_226_42	2.61503577789198
yangzhou_226_43	yangzhou_226_43	2.83742068864925
yangzhou_226_44	yangzhou_226_44	2.60201295337423
yangzhou_226_45	yangzhou_226_45	2.55149723196133
yangzhou_226_46	yangzhou_226_46	2.58326650492666
yangzhou_226_47	yangzhou_226_47	2.78825908819369
yangzhou_226_48	yangzhou_226_48	2.48795868603068
yangzhou_226_49	yangzhou_226_49	2.51972795899601
yangzhou_226_50	yangzhou_226_50	2.71034359678795
yangzhou_226_51	yangzhou_226_51	2.88138215560342
yangzhou_226_5	yangzhou_226_5	2.41595895388959
yangzhou_226_53	yangzhou_226_53	2.62975158310058
yangzhou_226_54	yangzhou_226_54	2.7293860065363
yangzhou_226_55	yangzhou_226_55	2.75349577981682
yangzhou_226_56	yangzhou_226_56	2.8740446462194
yangzhou_226_57	yangzhou_226_57	2.70527623325579
yangzhou_226_58	yangzhou_226_58	2.94637396606095
yangzhou_226_59	yangzhou_226_59	2.99459351262199
yangzhou_226_60	yangzhou_226_60	2.77760555309734
yangzhou_226_61	yangzhou_226_61	2.97048373934147
yangzhou_226_6	yangzhou_226_6	2.80171532637785
yangzhou_226_62	yangzhou_226_62	2.63294691341424
yangzhou_226_63	yangzhou_226_63	2.81255519073153
