FID	IID	PW_WenJ15
yangzhou_199_130	yangzhou_199_130	2.65
yangzhou_199_131	yangzhou_199_131	2.09
yangzhou_199_13	yangzhou_199_13	3.21
yangzhou_199_132	yangzhou_199_132	2.47
yangzhou_199_133	yangzhou_199_133	2.06
yangzhou_199_134	yangzhou_199_134	2.3
yangzhou_199_135	yangzhou_199_135	1.51
yangzhou_199_136	yangzhou_199_136	2.34
yangzhou_199_137	yangzhou_199_137	2.18
yangzhou_199_138	yangzhou_199_138	2.31
yangzhou_199_139	yangzhou_199_139	1.83
yangzhou_199_140	yangzhou_199_140	3.75
yangzhou_199_141	yangzhou_199_141	3.41
yangzhou_199_14	yangzhou_199_14	4.02
yangzhou_199_142	yangzhou_199_142	4.06
yangzhou_199_143	yangzhou_199_143	1.19
yangzhou_199_144	yangzhou_199_144	4.62
yangzhou_199_145	yangzhou_199_145	3.78
yangzhou_199_146	yangzhou_199_146	3.15
yangzhou_199_147	yangzhou_199_147	4.65
yangzhou_199_148	yangzhou_199_148	3.05
yangzhou_199_149	yangzhou_199_149	1.57
yangzhou_199_150	yangzhou_199_150	2.91
yangzhou_199_151	yangzhou_199_151	2.68
yangzhou_199_15	yangzhou_199_15	3.51
yangzhou_199_152	yangzhou_199_152	2.91
yangzhou_199_153	yangzhou_199_153	2.92
yangzhou_199_154	yangzhou_199_154	2.58
yangzhou_199_155	yangzhou_199_155	2.79
yangzhou_199_156	yangzhou_199_156	3.59
yangzhou_199_157	yangzhou_199_157	1.96
yangzhou_199_158	yangzhou_199_158	2.36
yangzhou_199_159	yangzhou_199_159	2.95
yangzhou_199_160	yangzhou_199_160	1.76
yangzhou_199_161	yangzhou_199_161	2.55
yangzhou_199_16	yangzhou_199_16	3.83
yangzhou_199_162	yangzhou_199_162	2.04
yangzhou_199_163	yangzhou_199_163	2.0
yangzhou_199_164	yangzhou_199_164	1.38
yangzhou_199_165	yangzhou_199_165	1.35
yangzhou_199_166	yangzhou_199_166	1.07
yangzhou_199_167	yangzhou_199_167	1.36
yangzhou_199_168	yangzhou_199_168	4.15
yangzhou_199_169	yangzhou_199_169	5.7
yangzhou_199_170	yangzhou_199_170	6.29
yangzhou_199_171	yangzhou_199_171	2.12
yangzhou_199_17	yangzhou_199_17	4.36
yangzhou_199_172	yangzhou_199_172	3.02
yangzhou_199_173	yangzhou_199_173	2.42
yangzhou_199_174	yangzhou_199_174	3.21
yangzhou_199_175	yangzhou_199_175	2.01
yangzhou_199_176	yangzhou_199_176	2.41
yangzhou_199_177	yangzhou_199_177	3.97
yangzhou_199_178	yangzhou_199_178	2.39
yangzhou_199_179	yangzhou_199_179	2.69
yangzhou_199_180	yangzhou_199_180	2.22
yangzhou_199_181	yangzhou_199_181	2.08
yangzhou_199_18	yangzhou_199_18	2.39
yangzhou_199_182	yangzhou_199_182	2.38
yangzhou_199_183	yangzhou_199_183	2.41
yangzhou_199_184	yangzhou_199_184	2.33
yangzhou_199_185	yangzhou_199_185	2.68
yangzhou_199_186	yangzhou_199_186	3.21
yangzhou_199_187	yangzhou_199_187	1.84
yangzhou_199_188	yangzhou_199_188	1.28
yangzhou_199_189	yangzhou_199_189	2.8
yangzhou_199_190	yangzhou_199_190	2.32
yangzhou_199_191	yangzhou_199_191	3.16
yangzhou_199_19	yangzhou_199_19	4.38
yangzhou_199_192	yangzhou_199_192	2.89
yangzhou_199_193	yangzhou_199_193	2.0
yangzhou_199_194	yangzhou_199_194	2.86
yangzhou_199_195	yangzhou_199_195	3.57
yangzhou_199_196	yangzhou_199_196	4.03
yangzhou_199_197	yangzhou_199_197	2.88
yangzhou_199_198	yangzhou_199_198	2.77
yangzhou_199_199	yangzhou_199_199	2.73
yangzhou_199_20	yangzhou_199_20	3.04
yangzhou_199_21	yangzhou_199_21	4.16
yangzhou_199_2	yangzhou_199_2	3.55
yangzhou_199_22	yangzhou_199_22	3.13
yangzhou_199_23	yangzhou_199_23	NA
yangzhou_199_24	yangzhou_199_24	4.19
yangzhou_199_25	yangzhou_199_25	2.46
yangzhou_199_26	yangzhou_199_26	3.84
yangzhou_199_27	yangzhou_199_27	3.38
yangzhou_199_28	yangzhou_199_28	2.05
yangzhou_199_29	yangzhou_199_29	3.46
yangzhou_199_30	yangzhou_199_30	4.52
yangzhou_199_31	yangzhou_199_31	2.21
yangzhou_199_3	yangzhou_199_3	3.11
yangzhou_199_32	yangzhou_199_32	3.62
yangzhou_199_33	yangzhou_199_33	2.3
yangzhou_199_34	yangzhou_199_34	2.46
yangzhou_199_35	yangzhou_199_35	3.64
yangzhou_199_36	yangzhou_199_36	3.05
yangzhou_199_37	yangzhou_199_37	2.93
yangzhou_199_38	yangzhou_199_38	2.26
yangzhou_199_39	yangzhou_199_39	2.26
yangzhou_199_40	yangzhou_199_40	3.24
yangzhou_199_41	yangzhou_199_41	3.03
yangzhou_199_4	yangzhou_199_4	3.97
yangzhou_199_42	yangzhou_199_42	4.38
yangzhou_199_43	yangzhou_199_43	3.36
yangzhou_199_44	yangzhou_199_44	3.44
yangzhou_199_45	yangzhou_199_45	3.08
yangzhou_199_46	yangzhou_199_46	3.15
yangzhou_199_47	yangzhou_199_47	3.67
yangzhou_199_48	yangzhou_199_48	2.52
yangzhou_199_49	yangzhou_199_49	1.89
yangzhou_199_50	yangzhou_199_50	2.55
yangzhou_199_51	yangzhou_199_51	3.7
yangzhou_199_5	yangzhou_199_5	2.57
yangzhou_199_52	yangzhou_199_52	2.83
yangzhou_199_53	yangzhou_199_53	2.93
yangzhou_199_54	yangzhou_199_54	2.09
yangzhou_199_55	yangzhou_199_55	3.29
yangzhou_199_56	yangzhou_199_56	2.77
yangzhou_199_57	yangzhou_199_57	3.23
yangzhou_199_58	yangzhou_199_58	2.99
yangzhou_199_59	yangzhou_199_59	2.87
yangzhou_199_60	yangzhou_199_60	2.26
yangzhou_199_61	yangzhou_199_61	2.17
yangzhou_199_6	yangzhou_199_6	3.26
yangzhou_199_62	yangzhou_199_62	3.44
yangzhou_199_63	yangzhou_199_63	2.64
yangzhou_199_64	yangzhou_199_64	3.23
yangzhou_199_65	yangzhou_199_65	2.41
yangzhou_199_66	yangzhou_199_66	2.98
yangzhou_199_67	yangzhou_199_67	2.46
yangzhou_199_68	yangzhou_199_68	2.36
yangzhou_199_69	yangzhou_199_69	3.26
yangzhou_199_70	yangzhou_199_70	1.57
yangzhou_199_71	yangzhou_199_71	1.93
