FID	IID	GSR_WenJ15
yangzhou_199_130	yangzhou_199_130	89.7
yangzhou_199_131	yangzhou_199_131	75.8
yangzhou_199_13	yangzhou_199_13	91.7
yangzhou_199_132	yangzhou_199_132	72.3
yangzhou_199_133	yangzhou_199_133	86.1
yangzhou_199_134	yangzhou_199_134	89.9
yangzhou_199_135	yangzhou_199_135	67.6
yangzhou_199_136	yangzhou_199_136	68.7
yangzhou_199_137	yangzhou_199_137	66.7
yangzhou_199_138	yangzhou_199_138	56.3
yangzhou_199_139	yangzhou_199_139	71.3
yangzhou_199_140	yangzhou_199_140	59.3
yangzhou_199_141	yangzhou_199_141	78.5
yangzhou_199_14	yangzhou_199_14	77.3
yangzhou_199_142	yangzhou_199_142	79.7
yangzhou_199_143	yangzhou_199_143	37.2
yangzhou_199_144	yangzhou_199_144	67.1
yangzhou_199_145	yangzhou_199_145	50.3
yangzhou_199_146	yangzhou_199_146	72.6
yangzhou_199_147	yangzhou_199_147	75.9
yangzhou_199_148	yangzhou_199_148	75.0
yangzhou_199_149	yangzhou_199_149	78.0
yangzhou_199_150	yangzhou_199_150	74.3
yangzhou_199_151	yangzhou_199_151	59.1
yangzhou_199_15	yangzhou_199_15	92.1
yangzhou_199_152	yangzhou_199_152	81.2
yangzhou_199_153	yangzhou_199_153	71.6
yangzhou_199_154	yangzhou_199_154	67.3
yangzhou_199_155	yangzhou_199_155	77.8
yangzhou_199_156	yangzhou_199_156	83.4
yangzhou_199_157	yangzhou_199_157	63.9
yangzhou_199_158	yangzhou_199_158	72.1
yangzhou_199_159	yangzhou_199_159	69.4
yangzhou_199_160	yangzhou_199_160	83.8
yangzhou_199_161	yangzhou_199_161	84.6
yangzhou_199_16	yangzhou_199_16	83.2
yangzhou_199_162	yangzhou_199_162	76.7
yangzhou_199_163	yangzhou_199_163	66.8
yangzhou_199_164	yangzhou_199_164	73.5
yangzhou_199_165	yangzhou_199_165	81.3
yangzhou_199_166	yangzhou_199_166	72.4
yangzhou_199_167	yangzhou_199_167	73.0
yangzhou_199_168	yangzhou_199_168	87.4
yangzhou_199_169	yangzhou_199_169	83.6
yangzhou_199_170	yangzhou_199_170	85.9
yangzhou_199_171	yangzhou_199_171	59.5
yangzhou_199_17	yangzhou_199_17	82.8
yangzhou_199_172	yangzhou_199_172	72.8
yangzhou_199_173	yangzhou_199_173	82.1
yangzhou_199_174	yangzhou_199_174	73.6
yangzhou_199_175	yangzhou_199_175	39.6
yangzhou_199_176	yangzhou_199_176	69.4
yangzhou_199_177	yangzhou_199_177	76.5
yangzhou_199_178	yangzhou_199_178	79.5
yangzhou_199_179	yangzhou_199_179	70.0
yangzhou_199_180	yangzhou_199_180	77.3
yangzhou_199_181	yangzhou_199_181	66.0
yangzhou_199_18	yangzhou_199_18	76.7
yangzhou_199_182	yangzhou_199_182	82.2
yangzhou_199_183	yangzhou_199_183	88.5
yangzhou_199_184	yangzhou_199_184	78.3
yangzhou_199_185	yangzhou_199_185	90.1
yangzhou_199_186	yangzhou_199_186	72.0
yangzhou_199_187	yangzhou_199_187	80.1
yangzhou_199_188	yangzhou_199_188	68.2
yangzhou_199_189	yangzhou_199_189	74.6
yangzhou_199_190	yangzhou_199_190	77.9
yangzhou_199_191	yangzhou_199_191	82.8
yangzhou_199_19	yangzhou_199_19	85.8
yangzhou_199_192	yangzhou_199_192	85.9
yangzhou_199_193	yangzhou_199_193	76.2
yangzhou_199_194	yangzhou_199_194	90.6
yangzhou_199_195	yangzhou_199_195	80.0
yangzhou_199_196	yangzhou_199_196	78.5
yangzhou_199_197	yangzhou_199_197	73.5
yangzhou_199_198	yangzhou_199_198	84.7
yangzhou_199_199	yangzhou_199_199	77.6
yangzhou_199_20	yangzhou_199_20	69.9
yangzhou_199_21	yangzhou_199_21	75.5
yangzhou_199_2	yangzhou_199_2	81.0
yangzhou_199_22	yangzhou_199_22	79.1
yangzhou_199_23	yangzhou_199_23	NA
yangzhou_199_24	yangzhou_199_24	70.9
yangzhou_199_25	yangzhou_199_25	69.3
yangzhou_199_26	yangzhou_199_26	85.4
yangzhou_199_27	yangzhou_199_27	77.2
yangzhou_199_28	yangzhou_199_28	58.7
yangzhou_199_29	yangzhou_199_29	84.7
yangzhou_199_30	yangzhou_199_30	90.0
yangzhou_199_31	yangzhou_199_31	77.3
yangzhou_199_3	yangzhou_199_3	86.2
yangzhou_199_32	yangzhou_199_32	87.7
yangzhou_199_33	yangzhou_199_33	87.3
yangzhou_199_34	yangzhou_199_34	85.9
yangzhou_199_35	yangzhou_199_35	77.1
yangzhou_199_36	yangzhou_199_36	80.7
yangzhou_199_37	yangzhou_199_37	80.9
yangzhou_199_38	yangzhou_199_38	64.7
yangzhou_199_39	yangzhou_199_39	62.4
yangzhou_199_40	yangzhou_199_40	92.0
yangzhou_199_41	yangzhou_199_41	91.7
yangzhou_199_4	yangzhou_199_4	90.1
yangzhou_199_42	yangzhou_199_42	90.4
yangzhou_199_43	yangzhou_199_43	91.1
yangzhou_199_44	yangzhou_199_44	87.0
yangzhou_199_45	yangzhou_199_45	85.4
yangzhou_199_46	yangzhou_199_46	90.1
yangzhou_199_47	yangzhou_199_47	87.7
yangzhou_199_48	yangzhou_199_48	85.9
yangzhou_199_49	yangzhou_199_49	81.2
yangzhou_199_50	yangzhou_199_50	79.5
yangzhou_199_51	yangzhou_199_51	87.1
yangzhou_199_5	yangzhou_199_5	76.4
yangzhou_199_52	yangzhou_199_52	73.2
yangzhou_199_53	yangzhou_199_53	88.3
yangzhou_199_54	yangzhou_199_54	73.0
yangzhou_199_55	yangzhou_199_55	88.4
yangzhou_199_56	yangzhou_199_56	81.9
yangzhou_199_57	yangzhou_199_57	81.7
yangzhou_199_58	yangzhou_199_58	81.5
yangzhou_199_59	yangzhou_199_59	79.3
yangzhou_199_60	yangzhou_199_60	74.7
yangzhou_199_61	yangzhou_199_61	80.2
yangzhou_199_6	yangzhou_199_6	85.5
yangzhou_199_62	yangzhou_199_62	83.1
yangzhou_199_63	yangzhou_199_63	81.6
yangzhou_199_64	yangzhou_199_64	87.9
yangzhou_199_65	yangzhou_199_65	67.3
yangzhou_199_66	yangzhou_199_66	88.0
yangzhou_199_67	yangzhou_199_67	79.8
yangzhou_199_68	yangzhou_199_68	69.2
yangzhou_199_69	yangzhou_199_69	76.5
yangzhou_199_70	yangzhou_199_70	64.9
yangzhou_199_71	yangzhou_199_71	79.1
yangzhou_199_7	yangzhou_199_7	86.4
yangzhou_199_72	yangzhou_199_72	89.7
yangzhou_199_73	yangzhou_199_73	95.2
yangzhou_199_74	yangzhou_199_74	76.2
yangzhou_199_75	yangzhou_199_75	82.8
yangzhou_199_76	yangzhou_199_76	59.8
yangzhou_199_77	yangzhou_199_77	78.2
yangzhou_199_78	yangzhou_199_78	86.1
yangzhou_199_79	yangzhou_199_79	91.5
yangzhou_199_80	yangzhou_199_80	85.1
yangzhou_199_81	yangzhou_199_81	78.8
yangzhou_199_8	yangzhou_199_8	67.6
yangzhou_199_82	yangzhou_199_82	84.4
yangzhou_199_83	yangzhou_199_83	77.8
yangzhou_199_84	yangzhou_199_84	69.6
yangzhou_199_85	yangzhou_199_85	85.8
yangzhou_199_86	yangzhou_199_86	76.7
yangzhou_199_87	yangzhou_199_87	89.9
yangzhou_199_88	yangzhou_199_88	78.6
yangzhou_199_89	yangzhou_199_89	60.6
yangzhou_199_90	yangzhou_199_90	75.8
yangzhou_199_91	yangzhou_199_91	88.4
yangzhou_199_9	yangzhou_199_9	82.7
yangzhou_199_92	yangzhou_199_92	87.5
yangzhou_199_93	yangzhou_199_93	81.5
yangzhou_199_94	yangzhou_199_94	78.3
yangzhou_199_95	yangzhou_199_95	77.0
yangzhou_199_96	yangzhou_199_96	74.4
yangzhou_199_97	yangzhou_199_97	79.2
yangzhou_199_98	yangzhou_199_98	96.4
yangzhou_199_99	yangzhou_199_99	83.2
yangzhou_226_100	yangzhou_226_100	79.0
yangzhou_226_101	yangzhou_226_101	57.9
yangzhou_226_10	yangzhou_226_10	86.4
yangzhou_226_102	yangzhou_226_102	74.3
yangzhou_226_103	yangzhou_226_103	68.9
yangzhou_226_104	yangzhou_226_104	65.3
yangzhou_226_105	yangzhou_226_105	80.4
yangzhou_226_106	yangzhou_226_106	73.3
yangzhou_226_107	yangzhou_226_107	43.9
yangzhou_226_108	yangzhou_226_108	90.7
yangzhou_226_109	yangzhou_226_109	53.1
yangzhou_226_110	yangzhou_226_110	84.5
yangzhou_226_111	yangzhou_226_111	81.5
yangzhou_226_11	yangzhou_226_11	82.6
yangzhou_226_112	yangzhou_226_112	77.8
yangzhou_226_113	yangzhou_226_113	81.8
yangzhou_226_114	yangzhou_226_114	72.5
yangzhou_226_115	yangzhou_226_115	20.2
yangzhou_226_116	yangzhou_226_116	59.8
yangzhou_226_117	yangzhou_226_117	60.0
yangzhou_226_118	yangzhou_226_118	58.6
yangzhou_226_119	yangzhou_226_119	58.9
yangzhou_226_1	yangzhou_226_1	73.0
yangzhou_226_120	yangzhou_226_120	66.0
yangzhou_226_121	yangzhou_226_121	62.0
yangzhou_226_12	yangzhou_226_12	75.8
yangzhou_226_122	yangzhou_226_122	56.3
yangzhou_226_123	yangzhou_226_123	NA
yangzhou_226_124	yangzhou_226_124	76.9
yangzhou_226_125	yangzhou_226_125	74.8
yangzhou_226_126	yangzhou_226_126	73.1
