FID	IID	FGP_WenJ15
yangzhou_199_130	yangzhou_199_130	90.4
yangzhou_199_131	yangzhou_199_131	93.1
yangzhou_199_13	yangzhou_199_13	132.0
yangzhou_199_132	yangzhou_199_132	103.8
yangzhou_199_133	yangzhou_199_133	85.3
yangzhou_199_134	yangzhou_199_134	90.2
yangzhou_199_135	yangzhou_199_135	74.4
yangzhou_199_136	yangzhou_199_136	91.2
yangzhou_199_137	yangzhou_199_137	100.3
yangzhou_199_138	yangzhou_199_138	102.7
yangzhou_199_139	yangzhou_199_139	82.0
yangzhou_199_140	yangzhou_199_140	137.7
yangzhou_199_141	yangzhou_199_141	131.2
yangzhou_199_14	yangzhou_199_14	158.2
yangzhou_199_142	yangzhou_199_142	174.1
yangzhou_199_143	yangzhou_199_143	80.2
yangzhou_199_144	yangzhou_199_144	157.6
yangzhou_199_145	yangzhou_199_145	149.9
yangzhou_199_146	yangzhou_199_146	122.4
yangzhou_199_147	yangzhou_199_147	127.4
yangzhou_199_148	yangzhou_199_148	89.9
yangzhou_199_149	yangzhou_199_149	53.0
yangzhou_199_150	yangzhou_199_150	106.1
yangzhou_199_151	yangzhou_199_151	91.7
yangzhou_199_15	yangzhou_199_15	127.9
yangzhou_199_152	yangzhou_199_152	104.9
yangzhou_199_153	yangzhou_199_153	102.0
yangzhou_199_154	yangzhou_199_154	79.1
yangzhou_199_155	yangzhou_199_155	97.3
yangzhou_199_156	yangzhou_199_156	135.2
yangzhou_199_157	yangzhou_199_157	77.5
yangzhou_199_158	yangzhou_199_158	75.9
yangzhou_199_159	yangzhou_199_159	107.6
yangzhou_199_160	yangzhou_199_160	71.6
yangzhou_199_161	yangzhou_199_161	98.1
yangzhou_199_16	yangzhou_199_16	136.8
yangzhou_199_162	yangzhou_199_162	74.2
yangzhou_199_163	yangzhou_199_163	90.1
yangzhou_199_164	yangzhou_199_164	56.4
yangzhou_199_165	yangzhou_199_165	52.7
yangzhou_199_166	yangzhou_199_166	45.2
yangzhou_199_167	yangzhou_199_167	51.2
yangzhou_199_168	yangzhou_199_168	172.7
yangzhou_199_169	yangzhou_199_169	196.3
yangzhou_199_170	yangzhou_199_170	219.1
yangzhou_199_171	yangzhou_199_171	75.7
yangzhou_199_17	yangzhou_199_17	139.6
yangzhou_199_172	yangzhou_199_172	112.8
yangzhou_199_173	yangzhou_199_173	91.7
yangzhou_199_174	yangzhou_199_174	127.4
yangzhou_199_175	yangzhou_199_175	85.8
yangzhou_199_176	yangzhou_199_176	103.0
yangzhou_199_177	yangzhou_199_177	160.9
yangzhou_199_178	yangzhou_199_178	94.6
yangzhou_199_179	yangzhou_199_179	107.2
yangzhou_199_180	yangzhou_199_180	91.7
yangzhou_199_181	yangzhou_199_181	81.8
yangzhou_199_18	yangzhou_199_18	96.3
yangzhou_199_182	yangzhou_199_182	99.4
yangzhou_199_183	yangzhou_199_183	87.3
yangzhou_199_184	yangzhou_199_184	92.0
yangzhou_199_185	yangzhou_199_185	111.9
